study,logTE,seTE
"Shiono et al, 1995",0.392042087776024,0.0858347542401053
"Solla et al, 1997",0.59,0.246740714529578
"Nakamura et al, 2004",0.59,0.663372330844348
"Veloso et al, 2014",0.920282753143692,0.217698190424384
"Veloso et al, 2014",0.83,0.310984296363259
"Witt et al, 2016",0.683096844706444,0.122340071495379
"Ahlborg et al, 1991",0.29266961396282,0.429224535016088
"Jaddoe et al, 2008",0.559615787935423,0.193287168800387
"Vardavas et al, 2010",1.02245092770255,0.254329201324263
"MÃ¸ller et al, 2014",0.802001585472027,0.188162995696627
"Sellers et al, 2020",0.576613364303994,0.0642912989930859
"Sellers et al, 2020",0.615185639090233,0.0646319719159965
"Jadsri et al, 1995",1.05779029414785,0.409778653029578
"Suzuki et al, 2008",1.06,0.44594931121634
"Bener et al, 2012",0.69,0.309697440261588
"Miyake et al, 2013",0.774727167552368,0.689916423406716
"Andriani et al, 2014",0.947789398933526,0.63076763315755
"Ko et al, 2014",0.841567185678219,0.0962485283524153
"Carter et al, 2005",1.0952733874026,0.401793146109326
"Bird et al, 2017",0.657520002916794,0.221627487041608
"Lewandolska et al, 2020",1.15688119679209,0.704084168375745
"Nematollahi et al, 2018",0.73716406597672,0.292223836260656
"Flower et al, 2013",0.418710334858185,0.129446437440013